Date,Open,High,Low,Close,Adj Close,Volume
2021-07-20,104.804749,104.804749,104.804749,104.804749,104.804749,0
2021-07-21,104.740677,104.740677,104.740677,104.740677,104.740677,0
2021-07-22,100.871033,100.871033,100.871033,100.871033,100.871033,0
2021-07-23,100.871033,100.871033,100.871033,100.871033,100.871033,0
2021-07-24,100.733437,100.733437,100.733437,100.733437,100.733437,0
2021-07-25,100.733437,100.733437,100.733437,100.733437,100.733437,0
2021-07-26,100.733437,100.733437,100.733437,100.733437,100.733437,0
2021-07-27,99.146843,99.146843,99.146843,99.146843,99.146843,0
2021-07-28,100.728905,100.728905,100.728905,100.728905,100.728905,0
2021-07-29,99.950729,99.950729,99.950729,99.950729,99.950729,0
2021-07-30,100.897026,100.897026,100.897026,100.897026,100.897026,0
2021-07-31,101.116379,101.116379,101.116379,101.116379,101.116379,0
2021-08-01,101.116379,101.116379,101.116379,101.116379,101.116379,0
2021-08-02,101.116379,101.116379,101.116379,101.116379,101.116379,0
2021-08-03,101.224045,101.224045,101.224045,101.224045,101.224045,0
2021-08-04,102.419479,102.419479,102.419479,102.419479,102.419479,0
2021-08-05,102.525871,102.525871,102.525871,102.525871,102.525871,0
2021-08-06,100.481659,100.481659,100.481659,100.481659,100.481659,0
2021-08-07,102.168350,102.168350,102.168350,102.168350,102.168350,0
2021-08-08,102.168350,102.168350,102.168350,102.168350,102.168350,0
2021-08-09,102.168350,102.168350,102.168350,102.168350,102.168350,0
2021-08-10,102.476730,102.476730,102.476730,102.476730,102.476730,0
2021-08-11,103.489983,103.489983,103.489983,103.489983,103.489983,0
2021-08-12,103.906227,103.906227,103.906227,103.906227,103.906227,0
2021-08-13,102.937012,102.937012,102.937012,102.937012,102.937012,0
2021-08-14,101.944206,101.944206,101.944206,101.944206,101.944206,0
2021-08-15,101.944206,101.944206,101.944206,101.944206,101.944206,0
2021-08-16,101.944206,101.944206,101.944206,101.944206,101.944206,0
2021-08-17,101.190338,101.190338,101.190338,101.190338,101.190338,0
2021-08-18,103.775742,103.775742,103.775742,103.775742,103.775742,0
2021-08-19,103.346588,103.346588,103.346588,103.346588,103.346588,0
2021-08-20,102.709259,102.709259,102.709259,102.709259,102.709259,0
